pattern,longname,units,variable,standardname,frequency,comment,lower_limit,upper_limit,interval,lower_scale,upper_scale,interval_scale,rounding
AET_sum_year_,Reale Evapotranspiration,mm,AET,actual_evapotranspiration,yearly,sumoftheyear,200,800,50,-500,500,100,100
Groundwater_recharge_sum_year_,Grundwasserneubildung,mm,GWR,groundwater_recharge,yearly,sumoftheyear,-100,600,50,-500,500,100,100
SOC_0-30_,Organischer Bodenkohlenstoff,%,SOC,"Soil organic carbon of topsoil (0  ""\u2212"" 30) cm",yearly,avgoftheyear,-100,200,50,-100,100,50,100
wheatwinterwheat_AET_sum_season_,Reale Evapotranspiration von Winterweizen,mm,AET-ww,actual_evapotranspiration_winter_wheat,yearly,sumoftheseason,200,800,50,-500,500,100,100
wheatwinterwheat_Groundwater_recharge_sum_season_,Grundwasserneubildung von Winterweizen,mm,GWR-ww,groundwater_recharge_winter_wheat,yearly,sumoftheseason,-100,600,50,-500,500,100,100
wheatwinterwheat_Season_length_,Vegetationsperiode  von Winterweizen,Tage,SL-ww,season_length_winter_wheat,yearly,count,200,500,50,-150,150,30,10
wheatwinterwheat_Yield_,Ertrag von Winterweizen,dt/ha,yield-ww,yield_winter_wheat,yearly,atharvesting,0,150,15,-50,50,10,100
wheatwinterwheat_LAI_max_season_,Maximal Blattflaechenindex von Winterweizen,m2/m2,LAI-ww,maximum_leaf_area_index-ww,yearly,maxoftheseason,0,20,2.5,-5,5,1,10
maizesilagemaize_AET_sum_season_,Reale Evapotranspiration von Silomais,mm,AET-sm,actual_evapotranspiration_silage_maize,yearly,sumoftheseason,200,800,50,-500,500,100,100
maizesilagemaize_Groundwater_recharge_sum_season_,Grundwasserneubildung von Silomais,mm,GWR-sm,groundwater_recharge_silage_maize,yearly,sumoftheseason,-100,600,50,-500,500,100,100
maizesilagemaize_Season_length_,Vegetationsperiode  von Silomais,Tage,SL-sm,season_length_silage_maize,yearly,count,0,300,25,-150,150,30,10
maizesilagemaize_Yield_,Ertrag von Silomais,dt/ha,yield-sm,yield_silage_maize,yearly,atharvesting,0,150,15,-50,50,10,100
maizesilagemaize_LAI_max_season_,Maximal Blattflaechenindex von Silomais,m2/m2,LAI-sm,maximum_leaf_area_index-silage_maize,yearly,maxoftheseason,0,20,2.5,-5,5,1,10
_AET_sum_season_,Reale Evapotranspiration von Rotation 09,mm,AET-rotation09,actual_evapotranspiration_rotation09,yearly,sumoftheseason,200,800,50,-500,500,100,100
Groundwater_recharge_sum_season_,Grundwasserneubildung von Rotation 09,mm,GWR-rotation09,groundwater_recharge_rotation09,yearly,sumoftheseason,-100,600,50,-500,500,100,100
_Season_length_,Vegetationsperiode  von Rotation 09,Tage,SL-rotation09,season_length_rotation09,yearly,count,200,500,50,-150,150,30,10
_Yield_,Ertrag von Rotation 09,dt/ha,yield-rotation09,yield_rotation09,yearly,atharvesting,0,150,15,-50,50,10,100
_LAI_max_season_,Maximal Blattflaechenindex von Rotation 09,m2/m2,LAI-rotation09,maximum_leaf_area_index-rotation09,yearly,maxoftheseason,0,20,2,5,-5,5,10
_AET_sum_season_,Reale Evapotranspiration von Rotation 10,mm,AET-rotation10,actual_evapotranspiration_rotation10,yearly,sumoftheseason,200,800,50,-500,500,100,100
Groundwater_recharge_sum_season_,Grundwasserneubildung von Rotation 10,mm,GWR-rotation10,groundwater_recharge_rotation10,yearly,sumoftheseason,-100,600,50,-500,500,100,100
_Season_length_,Vegetationsperiode von Rotation 10,Tage,SL-rotation10,season_length_rotation10,yearly,count,200,500,50,-150,150,30,10
_Yield_,Ertrag von Rotation 10,dt/ha,yield-rotation10,yield_rotation10,yearly,atharvesting,0,150,15,-50,50,10,100
_LAI_max_season_,Maximal Blattflaechenindex von Rotation 10,m2/m2,LAI-rotation10,maximum_leaf_area_index-rotation10,yearly,maxoftheseason,0,20,2,5,-5,5,10
barleywinterbarley_AET_sum_season_,Reale Evapotranspiration von Wintergerste,mm,AET-wg,actual_evapotranspiration_winter_barley,yearly,sumoftheseason,200,800,50,-500,500,100,100
barleywinterbarley_Groundwater_recharge_sum_season_,Grundwasserneubildung von Wintergerste,mm,GWR-wg,groundwater_recharge_winter_barley,yearly,sumoftheseason,0,600,50,-500,500,100,100
barleywinterbarley_Season_length_,Vegetationsperiode von Wintergerste,days,SL-wg,season_length_winter_barley,yearly,count,200,500,50,-150,150,30,10
barleywinterbarley_Yield_,Ertrag von Wintergerste,dt/ha,yield-wg,yield_winter_barley,yearly,atharvesting,0,150,15,-50,50,10,100
barleywinterbarley_LAI_max_season_,Maximal Blattflaechenindex  von  Wintergerste,m2/m2,LAI-wg,maximum_leaf_area_index-wg,yearly,maxoftheseason,0,20,2.5,-5,5,1,10
rapewinterrape_AET_sum_season_,Reale Evapotranspiration von Winterraps,mm,AET-wra,actual_evapotranspiration_winter_rapeseed,yearly,sumoftheseason,200,800,50,-500,500,100,100
rapewinterrape_Groundwater_recharge_sum_season_,Grundwasserneubildung von Winterraps,mm,GWR-wra,groundwater_recharge_winter_rapeseed,yearly,sumoftheseason,0,600,50,-500,500,100,100
rapewinterrape_Season_length_,Vegetationsperiode von Winterraps,days,SL-wra,season_length_winter_rapeseed,yearly,count,200,500,50,-150,150,30,10
rapewinterrape_Yield_,Ertrag von Winterraps,dt/ha,yield-wra,yield_winter_rapeseed,yearly,atharvesting,0,150,15,-50,50,10,100
rapewinterrape_LAI_max_season_,Maximal Blattflaechenindex  von  Winterraps,m2/m2,LAI-wra,maximum_leaf_area_index-wra,yearly,maxoftheseason,0,20,2.5,-5,5,1,10
barleyspringbarley_AET_sum_season_,Reale Evapotranspiration von Fruehlingsgerste,mm,AET-sg,actual_evapotranspiration_spring_barley,yearly,sumoftheseason,200,800,50,-500,500,100,100
barleyspringbarley_Groundwater_recharge_sum_season_,Grundwasserneubildung von Fruehlingsgerste,mm,GWR-sg,groundwater_recharge_spring_barley,yearly,sumoftheseason,0,600,50,-500,500,100,100
barleyspringbarley_Season_length_,Vegetationsperiode von Fruehlingsgerste,days,SL-sg,season_length_spring_barley,yearly,count,200,500,50,-150,150,30,10
barleyspringbarley_Yield_,Ertrag von Fruehlingsgerste,dt/ha,yield-sg,yield_spring_barley,yearly,atharvesting,0,150,15,-50,50,10,100
barleyspringbarley_LAI_max_season_,Maximal Blattflaechenindex  von  Fruehlingsgerste,m2/m2,LAI-sg,maximum_leaf_area_index-sg,yearly,maxoftheseason,0,20,2.5,-5,5,1,10
sugarbeet_AET_sum_season_,Reale Evapotranspiration von Zuckerruebe,mm,AET-zr,actual_evapotranspiration_sugerbeet,yearly,sumoftheseason,200,800,50,-500,500,100,100
sugarbeet_Groundwater_recharge_sum_season_,Grundwasserneubildung von Zuckerruebe,mm,GWR-zr,groundwater_recharge_sugerbeet,yearly,sumoftheseason,0,600,50,-500,500,100,100
sugarbeet_Season_length_,Vegetationsperiode von Zuckerruebe,days,SL-zr,season_length_sugerbeet,yearly,count,200,500,50,-150,150,30,10
sugarbeet_Yield_,Ertrag von Zuckerruebe,dt/ha,yield-zr,yield_sugerbeet,yearly,atharvesting,0,150,15,-50,50,10,100
sugarbeet_LAI_max_season_,Maximal Blattflaechenindex  von  Zuckerruebe,m2/m2,LAI-zr,maximum_leaf_area_index-zr,yearly,maxoftheseason,0,20,2.5,-5,5,1,10
